País,Año,Población_Total_Millones,Pct_0_14,Pct_15_24,Pct_25_54,Pct_55_64,Pct_65_más,Pob_0_14_Miles,Pob_15_24_Miles,Pob_25_54_Miles,Pob_55_64_Miles,Pob_65_más_Miles,Fuente
México,2000,97.5,33.0,20.0,37.5,5.0,4.5,32175,19500,36563,4875,4388,CEPAL/BBVA Research
México,2010,112.3,28.5,19.0,40.0,6.0,6.5,32006,21337,44920,6738,7300,CEPAL/BBVA Research
México,2020,126.0,25.0,16.5,42.5,7.5,8.5,31500,20790,53550,9450,10710,CEPAL/BBVA Research
México,2023,129.0,24.0,16.0,43.0,8.0,9.0,30960,20640,55470,10320,11610,CEPAL/BBVA Research
Brasil,2000,173.0,28.0,20.5,39.5,6.5,5.5,48440,35465,68315,11245,9515,CEPAL/Banco Mundial
Brasil,2010,196.8,24.5,18.0,42.0,7.5,8.0,48216,35424,82656,14760,15744,CEPAL/Banco Mundial
Brasil,2020,213.2,20.5,15.0,44.0,9.0,11.5,43706,31980,93808,19188,24518,CEPAL/Banco Mundial
Brasil,2023,215.8,19.0,14.0,44.5,9.5,13.0,41002,30212,96001,20501,28054,CEPAL/Banco Mundial
Argentina,2000,37.1,26.0,19.0,40.0,7.0,8.0,9646,7049,14840,2597,2968,CEPAL/Banco Mundial
Argentina,2010,40.8,23.0,17.0,42.0,8.0,10.0,9384,6936,17136,3264,4080,CEPAL/Banco Mundial
Argentina,2020,45.4,21.0,15.0,43.5,9.0,11.5,9534,6810,19749,4086,5221,CEPAL/Banco Mundial
Argentina,2023,46.6,20.0,14.5,43.5,9.5,12.5,9320,6757,20271,4427,5825,CEPAL/Banco Mundial
Colombia,2000,40.3,32.0,21.0,37.0,5.5,4.5,12896,8463,14911,2217,1814,CEPAL/Banco Mundial
Colombia,2010,45.5,27.0,19.0,40.0,6.5,7.5,12285,8645,18200,2958,3413,CEPAL/Banco Mundial
Colombia,2020,51.2,23.0,16.0,43.0,8.0,10.0,11776,8192,22016,4096,5120,CEPAL/Banco Mundial
Colombia,2023,52.2,22.0,15.5,43.5,8.5,10.5,11484,8091,22707,4437,5481,CEPAL/Banco Mundial
Chile,2000,15.5,26.0,19.0,40.0,7.0,8.0,4030,2945,6200,1085,1240,CEPAL/Banco Mundial
Chile,2010,17.1,22.0,17.0,42.5,8.0,10.5,3762,2907,7268,1368,1796,CEPAL/Banco Mundial
Chile,2020,19.1,19.0,14.0,45.0,9.5,12.5,3629,2674,8595,1815,2388,CEPAL/Banco Mundial
Chile,2023,19.6,18.0,13.5,45.0,10.0,13.5,3528,2646,8820,1960,2646,CEPAL/Banco Mundial
Perú,2000,25.9,34.0,22.0,35.0,4.5,4.5,8806,5698,9065,1166,1166,CEPAL/Banco Mundial
Perú,2010,29.5,28.0,20.0,39.0,6.0,7.0,8260,5900,11505,1770,2065,CEPAL/Banco Mundial
Perú,2020,33.0,24.0,17.0,42.5,7.5,9.0,7920,5610,14025,2475,2970,CEPAL/Banco Mundial
Perú,2023,34.0,23.0,16.5,43.0,8.0,9.5,7820,5610,14620,2720,3230,CEPAL/Banco Mundial
Venezuela,2000,24.0,34.0,22.0,35.0,4.5,4.5,8160,5280,8400,1080,1080,CEPAL/Banco Mundial
Venezuela,2010,28.0,29.0,20.0,38.5,6.0,6.5,8120,5600,10780,1680,1820,CEPAL/Banco Mundial
Venezuela,2020,28.5,26.0,18.0,41.0,7.0,8.0,7410,5130,11685,1995,2280,CEPAL/Banco Mundial
Venezuela,2023,28.8,25.0,17.5,41.5,7.5,8.5,7200,5040,11952,2160,2448,CEPAL/Banco Mundial
Ecuador,2000,12.6,36.0,22.0,33.0,4.0,5.0,4536,2772,4158,504,630,CEPAL/Banco Mundial
Ecuador,2010,15.0,31.0,20.5,36.5,5.5,6.5,4650,3075,5475,825,975,CEPAL/Banco Mundial
Ecuador,2020,17.6,27.0,18.0,40.0,7.0,8.0,4752,3168,7040,1232,1408,CEPAL/Banco Mundial
Ecuador,2023,18.0,26.0,17.5,40.5,7.5,8.5,4680,3150,7290,1350,1530,CEPAL/Banco Mundial
Bolivia,2000,8.3,39.0,23.0,30.0,3.5,4.5,3237,1909,2490,291,374,CEPAL/Banco Mundial
Bolivia,2010,10.0,34.0,21.0,33.5,4.5,7.0,3400,2100,3350,450,700,CEPAL/Banco Mundial
Bolivia,2020,11.7,30.0,19.0,37.0,6.0,8.0,3510,2223,4329,702,936,CEPAL/Banco Mundial
Bolivia,2023,12.3,29.0,18.5,37.5,6.5,8.5,3567,2276,4613,800,1046,CEPAL/Banco Mundial
Paraguay,2000,5.1,38.0,23.0,31.0,3.5,4.5,1938,1173,1581,179,230,CEPAL/Banco Mundial
Paraguay,2010,6.2,33.0,21.0,34.5,4.5,7.0,2046,1302,2139,279,434,CEPAL/Banco Mundial
Paraguay,2020,7.1,29.0,19.0,37.5,6.0,8.5,2059,1349,2663,426,604,CEPAL/Banco Mundial
Paraguay,2023,7.5,28.0,18.5,38.0,6.5,9.0,2100,1388,2850,488,675,CEPAL/Banco Mundial
Uruguay,2000,3.3,25.0,18.0,41.0,7.5,8.5,825,594,1353,248,281,CEPAL/Banco Mundial
Uruguay,2010,3.4,21.0,16.0,43.0,9.0,11.0,714,544,1462,306,374,CEPAL/Banco Mundial
Uruguay,2020,3.5,19.0,14.0,44.5,10.0,12.5,665,490,1558,350,438,CEPAL/Banco Mundial
Uruguay,2023,3.5,18.0,13.5,44.5,10.5,13.5,630,473,1558,368,473,CEPAL/Banco Mundial
