País,Año,Población_Total_Millones,Pct_0_14,Pct_15_24,Pct_25_54,Pct_55_64,Pct_65_más,Pob_0_14_Miles,Pob_15_24_Miles,Pob_25_54_Miles,Pob_55_64_Miles,Pob_65_más_Miles,Fuente,ISO3,Región,Pct_Edad_Laboral,Pct_Joven_Total,Pob_Edad_Laboral_Miles,Pob_Dependiente_Miles,Indice_Envejecimiento,Razon_Dependencia_Total,Razon_Dependencia_Infantil,Razon_Dependencia_Mayores,Indice_Bono_Demografico,Cambio_Envejecimiento_vs_2000,Suma_Pct_Grupos,Pct_Grupos_Validos
Argentina,2000,37.1,26.0,16.0,39.0,11.0,8.0,9646,5936,14469,4081,2968,CEPALSTAT,ARG,Cono Sur,66.0,42.0,24486,12614,30.77,51.52,39.39,12.12,1.9412,0.0,100.0,True
Argentina,2010,40.8,23.0,17.0,40.0,10.0,10.0,9384,6936,16320,4080,4080,CEPALSTAT,ARG,Cono Sur,67.0,40.0,27336,13464,43.48,49.25,34.33,14.93,2.0303,12.71,100.0,True
Argentina,2020,45.4,21.0,15.0,41.0,11.5,11.5,9534,6810,18614,5221,5221,CEPALSTAT,ARG,Cono Sur,67.5,36.0,30645,14755,54.76,48.15,31.11,17.04,2.0769,23.99,100.0,True
Argentina,2023,46.6,20.0,15.0,42.0,10.5,12.5,9320,6990,19572,4893,5825,CEPALSTAT,ARG,Cono Sur,67.5,35.0,31455,15145,62.5,48.15,29.63,18.52,2.0769,31.73,100.0,True
Bolivia,2000,8.3,38.0,21.0,30.0,6.5,4.5,3154,1743,2490,540,374,CEPALSTAT,BOL,Andina,57.5,59.0,4773,3528,11.86,73.92,66.08,7.84,1.3529,0.0,100.0,True
Bolivia,2010,10.0,33.0,21.0,34.0,5.0,7.0,3300,2100,3400,500,700,CEPALSTAT,BOL,Andina,60.0,54.0,6000,4000,21.21,66.67,55.0,11.67,1.5,9.35,100.0,True
Bolivia,2020,11.7,28.0,19.0,39.0,6.0,8.0,3276,2223,4563,702,936,CEPALSTAT,BOL,Andina,64.0,47.0,7488,4212,28.57,56.25,43.75,12.5,1.7778,16.71,100.0,True
Bolivia,2023,12.3,26.0,18.0,40.0,7.5,8.5,3198,2214,4920,923,1046,CEPALSTAT,BOL,Andina,65.5,44.0,8057,4244,32.71,52.67,39.69,12.98,1.8984,20.85,100.0,True
Brasil,2000,174.5,28.0,18.0,38.0,10.5,5.5,48860,31410,66310,18323,9598,CEPALSTAT,BRA,Cono Sur,66.5,46.0,116043,58458,19.64,50.38,42.11,8.27,1.9851,0.0,100.0,True
Brasil,2010,195.7,22.0,18.0,42.0,10.0,8.0,43054,35226,82194,19570,15656,CEPALSTAT,BRA,Cono Sur,70.0,40.0,136990,58710,36.36,42.86,31.43,11.43,2.3333,16.72,100.0,True
Brasil,2020,213.2,20.0,15.0,43.0,10.5,11.5,42640,31980,91676,22386,24518,CEPALSTAT,BRA,Cono Sur,68.5,35.0,146042,67158,57.5,45.99,29.2,16.79,2.1746,37.86,100.0,True
Brasil,2023,215.8,19.0,14.0,43.0,11.0,13.0,41002,30212,92794,23738,28054,CEPALSTAT,BRA,Cono Sur,68.0,33.0,146744,69056,68.42,47.06,27.94,19.12,2.125,48.78,100.0,True
Chile,2000,15.4,26.0,18.0,40.0,8.0,8.0,4004,2772,6160,1232,1232,CEPALSTAT,CHL,Cono Sur,66.0,44.0,10164,5236,30.77,51.52,39.39,12.12,1.9412,0.0,100.0,True
Chile,2010,17.1,20.0,17.0,44.0,8.5,10.5,3420,2907,7524,1454,1796,CEPALSTAT,CHL,Cono Sur,69.5,37.0,11885,5216,52.51,43.89,28.78,15.11,2.2786,21.74,100.0,True
Chile,2020,19.1,18.0,14.0,44.0,11.5,12.5,3438,2674,8404,2197,2388,CEPALSTAT,CHL,Cono Sur,69.5,32.0,13275,5826,69.46,43.89,25.9,17.99,2.2786,38.69,100.0,True
Chile,2023,19.6,17.0,13.0,43.0,13.5,13.5,3332,2548,8428,2646,2646,CEPALSTAT,CHL,Cono Sur,69.5,30.0,13622,5978,79.41,43.88,24.46,19.42,2.2787,48.64,100.0,True
Colombia,2000,40.4,31.0,19.0,37.0,8.5,4.5,12524,7676,14948,3434,1818,CEPALSTAT,COL,Andina,64.5,50.0,26058,14342,14.52,55.04,48.06,6.98,1.8169,0.0,100.0,True
Colombia,2010,45.5,25.0,18.0,41.0,8.5,7.5,11375,8190,18655,3868,3413,CEPALSTAT,COL,Andina,67.5,43.0,30713,14788,30.0,48.15,37.04,11.11,2.0769,15.48,100.0,True
Colombia,2020,50.8,21.0,17.0,43.0,9.0,10.0,10668,8636,21844,4572,5080,CEPALSTAT,COL,Andina,69.0,38.0,35052,15748,47.62,44.93,30.43,14.49,2.2258,33.1,100.0,True
Colombia,2023,52.2,19.0,16.0,44.0,10.5,10.5,9918,8352,22968,5481,5481,CEPALSTAT,COL,Andina,70.5,35.0,36801,15399,55.26,41.84,26.95,14.89,2.3898,40.74,100.0,True
Ecuador,2000,12.3,33.0,21.0,34.0,7.0,5.0,4059,2583,4182,861,615,CEPALSTAT,ECU,Andina,62.0,54.0,7626,4674,15.15,61.29,53.23,8.06,1.6316,0.0,100.0,True
Ecuador,2010,14.5,28.0,19.0,38.0,8.5,6.5,4060,2755,5510,1233,943,CEPALSTAT,ECU,Andina,65.5,47.0,9498,5003,23.23,52.67,42.75,9.93,1.8985,8.08,100.0,True
Ecuador,2020,17.6,26.0,18.0,39.0,9.0,8.0,4576,3168,6864,1584,1408,CEPALSTAT,ECU,Andina,66.0,44.0,11616,5984,30.77,51.52,39.39,12.12,1.9412,15.62,100.0,True
Ecuador,2023,18.0,24.0,17.0,41.0,9.5,8.5,4320,3060,7380,1710,1530,CEPALSTAT,ECU,Andina,67.5,41.0,12150,5850,35.42,48.15,35.56,12.59,2.0769,20.27,100.0,True
