País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Argentina,ARG,2000,36.7,92.0,74.0,14.0,33.32,11.01,44.34,31.5,6.65,7.11,8.48,8.93,8.48,8.02,7.57,7.11,6.75,6.29,5.83,5.38,4.92,4.47,4.01
Argentina,ARG,2001,37.22,92.2,74.3,14.2,32.66,11.12,43.78,31.88,6.54,6.99,8.35,8.81,8.41,7.99,7.59,7.17,6.81,6.35,5.9,5.45,5.01,4.54,4.08
Argentina,ARG,2002,37.74,92.4,74.6,14.4,31.99,11.24,43.22,32.26,6.42,6.88,8.23,8.68,8.34,7.96,7.61,7.23,6.87,6.42,5.97,5.51,5.1,4.61,4.16
Argentina,ARG,2003,38.26,92.6,74.9,14.6,31.32,11.35,42.67,32.64,6.31,6.76,8.11,8.56,8.27,7.93,7.64,7.29,6.93,6.48,6.03,5.58,5.19,4.68,4.23
Argentina,ARG,2004,38.78,92.8,75.2,14.8,30.65,11.46,42.11,33.02,6.19,6.64,7.99,8.44,8.2,7.9,7.66,7.36,7.0,6.55,6.1,5.65,5.27,4.75,4.31
Argentina,ARG,2005,39.3,93.0,75.5,15.0,29.98,11.57,41.56,33.4,6.08,6.52,7.86,8.31,8.13,7.86,7.69,7.42,7.06,6.61,6.17,5.72,5.36,4.83,4.38
Argentina,ARG,2006,39.54,93.2,75.66,15.2,29.57,11.73,41.3,33.62,6.0,6.45,7.79,8.27,8.09,7.84,7.66,7.4,7.07,6.66,6.23,5.78,5.41,4.89,4.44
Argentina,ARG,2007,39.78,93.4,75.82,15.4,29.16,11.88,41.04,33.84,5.92,6.37,7.71,8.24,8.06,7.82,7.64,7.37,7.09,6.71,6.3,5.85,5.46,4.95,4.5
Argentina,ARG,2008,40.02,93.6,75.98,15.6,28.74,12.04,40.78,34.06,5.84,6.29,7.64,8.2,8.02,7.8,7.62,7.35,7.1,6.76,6.37,5.92,5.5,5.02,4.57
Argentina,ARG,2009,40.26,93.8,76.14,15.8,28.33,12.19,40.52,34.28,5.76,6.21,7.57,8.16,7.98,7.78,7.6,7.33,7.12,6.81,6.43,5.98,5.55,5.08,4.63
