País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Bolivia,BOL,2000,8.6,57.0,64.0,9.0,54.36,5.68,60.04,22.7,10.87,11.33,11.6,10.87,9.94,8.56,7.27,6.26,5.34,4.51,3.78,3.13,2.67,2.12,1.75
Bolivia,BOL,2001,8.76,57.26,64.3,9.2,52.84,5.68,60.04,23.24,10.63,11.08,11.36,10.68,9.81,8.53,7.33,6.36,5.46,4.64,3.91,3.28,2.8,2.26,1.88
Bolivia,BOL,2002,8.92,57.52,64.6,9.4,51.33,5.68,60.04,23.78,10.39,10.84,11.11,10.5,9.67,8.5,7.38,6.46,5.57,4.76,4.05,3.42,2.94,2.4,2.01
Bolivia,BOL,2003,9.08,57.78,64.9,9.6,49.81,5.68,60.04,24.32,10.16,10.6,10.86,10.31,9.53,8.46,7.43,6.57,5.68,4.89,4.18,3.57,3.07,2.54,2.14
Bolivia,BOL,2004,9.24,58.04,65.2,9.8,48.3,5.68,60.04,24.86,9.92,10.35,10.62,10.13,9.39,8.43,7.49,6.67,5.8,5.02,4.32,3.71,3.21,2.69,2.27
Bolivia,BOL,2005,9.4,58.3,65.5,10.0,46.79,5.68,60.04,25.4,9.68,10.11,10.37,9.94,9.25,8.4,7.54,6.77,5.91,5.14,4.46,3.86,3.34,2.83,2.4
Bolivia,BOL,2006,9.56,58.66,65.8,10.2,45.25,5.68,60.04,26.1,9.42,9.84,10.12,9.73,9.11,8.34,7.58,6.85,6.04,5.28,4.62,4.01,3.51,3.0,2.55
Bolivia,BOL,2007,9.72,59.02,66.1,10.4,43.71,5.68,60.04,26.8,9.15,9.57,9.88,9.53,8.96,8.29,7.61,6.93,6.16,5.42,4.79,4.17,3.68,3.18,2.7
Bolivia,BOL,2008,9.88,59.38,66.4,10.6,42.17,5.68,60.04,27.5,8.88,9.29,9.63,9.32,8.81,8.23,7.65,7.01,6.29,5.56,4.95,4.33,3.84,3.35,2.85
Bolivia,BOL,2009,10.04,59.74,66.7,10.8,40.63,5.68,60.04,28.2,8.62,9.02,9.39,9.11,8.66,8.17,7.69,7.09,6.41,5.69,5.11,4.49,4.01,3.53,3.0
Bolivia,BOL,2010,10.2,60.1,67.0,11.0,39.09,5.68,60.04,28.9,8.35,8.75,9.14,8.9,8.51,8.12,7.72,7.17,6.54,5.83,5.28,4.65,4.18,3.7,3.15
Bolivia,BOL,2011,10.36,60.88,67.3,11.2,38.27,5.68,60.04,29.42,8.17,8.57,8.96,8.77,8.42,8.06,7.72,7.2,6.62,5.94,5.4,4.77,4.3,3.83,3.28
Bolivia,BOL,2012,10.52,61.66,67.6,11.4,37.45,5.68,60.04,29.94,8.0,8.38,8.77,8.63,8.33,8.01,7.71,7.22,6.69,6.06,5.51,4.89,4.42,3.96,3.41
Bolivia,BOL,2013,10.68,62.44,67.9,11.6,36.63,5.68,60.04,30.46,7.82,8.2,8.59,8.49,8.24,7.95,7.7,7.25,6.77,6.17,5.63,5.01,4.55,4.08,3.54
Bolivia,BOL,2014,10.84,63.22,68.2,11.8,35.81,5.68,60.04,30.98,7.64,8.02,8.4,8.36,8.16,7.89,7.69,7.28,6.85,6.28,5.74,5.13,4.67,4.21,3.67
Bolivia,BOL,2015,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2016,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2017,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2018,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2019,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2020,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2021,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2022,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2023,11.0,64.0,68.5,12.0,34.99,5.68,60.04,31.5,7.46,7.84,8.22,8.22,8.07,7.84,7.69,7.31,6.93,6.39,5.86,5.25,4.79,4.34,3.81
Bolivia,BOL,2024,11.63,65.78,69.67,12.78,29.8,5.68,60.04,33.87,6.55,6.91,7.33,7.51,7.57,7.64,7.8,7.59,7.36,6.89,6.42,5.81,5.36,4.94,4.35
Bolivia,BOL,2025,11.74,66.15,69.89,12.93,28.93,5.68,60.04,34.29,6.39,6.74,7.17,7.39,7.48,7.61,7.82,7.63,7.43,6.98,6.52,5.91,5.46,5.04,4.45
Bolivia,BOL,2026,11.85,66.52,70.1,13.07,28.05,5.68,60.04,34.72,6.23,6.58,7.01,7.26,7.39,7.57,7.83,7.67,7.5,7.07,6.62,6.01,5.56,5.15,4.55
Bolivia,BOL,2027,11.97,66.89,70.32,13.21,27.18,5.68,60.04,35.14,6.07,6.42,6.86,7.14,7.31,7.53,7.85,7.72,7.58,7.15,6.72,6.11,5.66,5.25,4.65
Bolivia,BOL,2028,12.08,67.27,70.53,13.35,26.31,5.68,60.04,35.56,5.91,6.26,6.7,7.02,7.22,7.5,7.86,7.76,7.65,7.24,6.81,6.21,5.77,5.36,4.75
Bolivia,BOL,2029,12.2,67.64,70.74,13.5,25.43,5.68,60.04,35.99,5.75,6.09,6.54,6.89,7.14,7.46,7.88,7.81,7.72,7.33,6.91,6.31,5.87,5.47,4.85
Bolivia,BOL,2030,12.31,68.01,70.96,13.64,24.56,5.68,60.04,36.41,5.59,5.93,6.39,6.77,7.05,7.42,7.89,7.85,7.8,7.42,7.01,6.41,5.97,5.57,4.95
