País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Brasil,BRA,2000,169.6,81.0,72.5,22.0,50.37,5.57,55.94,24.2,9.39,9.95,11.55,10.99,9.77,8.54,7.42,6.48,5.73,5.07,4.41,3.66,2.91,2.25,1.88
Brasil,BRA,2001,173.38,81.6,72.9,22.2,48.62,5.86,54.48,24.96,9.12,9.66,11.22,10.67,9.61,8.56,7.56,6.67,5.88,5.21,4.54,3.81,3.06,2.42,2.01
Brasil,BRA,2002,177.16,82.2,73.3,22.4,46.87,6.16,53.03,25.72,8.85,9.38,10.88,10.36,9.45,8.57,7.71,6.85,6.03,5.35,4.66,3.95,3.21,2.6,2.15
Brasil,BRA,2003,180.94,82.8,73.7,22.6,45.12,6.45,51.57,26.48,8.59,9.09,10.55,10.05,9.29,8.58,7.85,7.04,6.19,5.49,4.78,4.1,3.36,2.77,2.29
Brasil,BRA,2004,184.72,83.4,74.1,22.8,43.37,6.75,50.12,27.24,8.32,8.8,10.21,9.74,9.13,8.59,8.0,7.22,6.34,5.63,4.91,4.25,3.51,2.94,2.42
Brasil,BRA,2005,188.5,84.0,74.5,23.0,41.62,7.04,48.66,28.0,8.05,8.51,9.88,9.42,8.97,8.6,8.14,7.41,6.5,5.76,5.03,4.39,3.66,3.11,2.56
Brasil,BRA,2006,188.96,84.6,74.56,23.2,40.24,7.04,48.66,28.5,7.84,8.3,9.71,9.31,8.89,8.54,8.14,7.48,6.62,5.85,5.13,4.49,3.79,3.23,2.69
Brasil,BRA,2007,189.42,85.2,74.62,23.4,38.86,7.04,48.66,29.0,7.63,8.09,9.54,9.19,8.81,8.48,8.13,7.54,6.74,5.93,5.23,4.59,3.93,3.34,2.83
Brasil,BRA,2008,189.88,85.8,74.68,23.6,37.48,7.04,48.66,29.5,7.42,7.88,9.37,9.08,8.73,8.42,8.12,7.61,6.86,6.01,5.33,4.69,4.06,3.46,2.96
Brasil,BRA,2009,190.34,86.4,74.74,23.8,36.1,7.04,48.66,30.0,7.21,7.67,9.2,8.96,8.65,8.36,8.12,7.68,6.98,6.09,5.43,4.79,4.2,3.57,3.09
Brasil,BRA,2010,190.8,87.0,74.8,24.0,34.72,7.04,48.66,30.5,7.0,7.47,9.03,8.85,8.57,8.29,8.11,7.74,7.1,6.18,5.53,4.88,4.33,3.69,3.23
Brasil,BRA,2011,194.2,87.6,75.2,24.2,34.05,7.04,48.66,31.04,6.83,7.29,8.86,8.68,8.4,8.24,8.13,7.78,7.17,6.32,5.67,5.01,4.45,3.82,3.34
Brasil,BRA,2012,197.6,88.2,75.6,24.4,33.38,7.04,48.66,31.58,6.66,7.12,8.7,8.51,8.23,8.18,8.14,7.81,7.24,6.46,5.81,5.13,4.57,3.96,3.46
Brasil,BRA,2013,201.0,88.8,76.0,24.6,32.71,7.04,48.66,32.12,6.49,6.95,8.53,8.34,8.07,8.12,8.16,7.85,7.31,6.6,5.95,5.25,4.69,4.1,3.58
Brasil,BRA,2014,204.4,89.4,76.4,24.8,32.05,7.04,48.66,32.66,6.32,6.78,8.36,8.18,7.9,8.06,8.18,7.88,7.38,6.75,6.1,5.37,4.81,4.24,3.7
Brasil,BRA,2015,207.8,90.0,76.8,25.0,31.38,7.04,48.66,33.2,6.15,6.61,8.19,8.01,7.73,8.01,8.19,7.91,7.45,6.89,6.24,5.49,4.93,4.38,3.82
Brasil,BRA,2016,207.8,90.0,76.8,25.0,31.38,7.04,48.66,33.2,6.15,6.61,8.19,8.01,7.73,8.01,8.19,7.91,7.45,6.89,6.24,5.49,4.93,4.38,3.82
Brasil,BRA,2017,207.8,90.0,76.8,25.0,31.38,7.04,48.66,33.2,6.15,6.61,8.19,8.01,7.73,8.01,8.19,7.91,7.45,6.89,6.24,5.49,4.93,4.38,3.82
