País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Chile,CHL,2000,15.1,87.0,76.0,20.0,31.65,13.49,45.14,33.1,6.27,6.73,8.11,8.57,8.11,7.65,7.28,6.91,6.54,6.36,6.18,5.71,5.53,5.25,4.79
Chile,CHL,2001,15.3,87.2,76.3,20.2,30.9,13.72,44.62,33.54,6.15,6.6,7.98,8.44,8.03,7.61,7.28,6.95,6.62,6.42,6.23,5.81,5.63,5.35,4.89
Chile,CHL,2002,15.5,87.4,76.6,20.4,30.15,13.96,44.11,33.98,6.02,6.48,7.85,8.31,7.96,7.57,7.28,6.99,6.69,6.48,6.29,5.91,5.73,5.45,5.0
Chile,CHL,2003,15.7,87.6,76.9,20.6,29.41,14.19,43.6,34.42,5.9,6.36,7.72,8.17,7.88,7.53,7.28,7.02,6.77,6.53,6.35,6.01,5.82,5.55,5.1
Chile,CHL,2004,15.9,87.8,77.2,20.8,28.66,14.42,43.08,34.86,5.78,6.23,7.59,8.04,7.8,7.5,7.28,7.06,6.84,6.59,6.41,6.1,5.92,5.65,5.2
Chile,CHL,2005,16.1,88.0,77.5,21.0,27.91,14.66,42.57,35.3,5.66,6.11,7.46,7.91,7.73,7.46,7.28,7.1,6.92,6.65,6.47,6.2,6.02,5.75,5.3
Chile,CHL,2006,16.26,88.2,77.7,21.2,27.44,14.84,42.28,35.62,5.57,6.02,7.37,7.82,7.67,7.42,7.26,7.1,6.94,6.7,6.52,6.27,6.09,5.84,5.39
Chile,CHL,2007,16.42,88.4,77.9,21.4,26.97,15.03,42.0,35.94,5.48,5.93,7.28,7.73,7.62,7.39,7.24,7.1,6.96,6.76,6.58,6.35,6.17,5.93,5.48
Chile,CHL,2008,16.58,88.6,78.1,21.6,26.49,15.22,41.71,36.26,5.39,5.84,7.19,7.64,7.57,7.35,7.23,7.1,6.98,6.81,6.63,6.42,6.24,6.02,5.57
Chile,CHL,2009,16.74,88.8,78.3,21.8,26.02,15.41,41.42,36.58,5.3,5.75,7.1,7.55,7.52,7.32,7.21,7.1,7.0,6.87,6.69,6.49,6.31,6.11,5.66
Chile,CHL,2010,16.9,89.0,78.5,22.0,25.54,15.59,41.14,36.9,5.22,5.67,7.01,7.46,7.46,7.28,7.19,7.1,7.01,6.92,6.74,6.56,6.38,6.21,5.76
Chile,CHL,2011,17.12,89.2,78.7,22.2,25.2,15.99,41.18,37.14,5.15,5.6,6.95,7.41,7.41,7.26,7.19,7.12,7.03,6.94,6.77,6.61,6.45,6.27,5.85
Chile,CHL,2012,17.34,89.4,78.9,22.4,24.85,16.38,41.23,37.38,5.08,5.53,6.89,7.35,7.35,7.24,7.18,7.13,7.04,6.95,6.8,6.66,6.51,6.33,5.95
Chile,CHL,2013,17.56,89.6,79.1,22.6,24.5,16.77,41.27,37.62,5.01,5.46,6.83,7.29,7.29,7.22,7.18,7.14,7.05,6.96,6.83,6.71,6.58,6.4,6.05
Chile,CHL,2014,17.78,89.8,79.3,22.8,24.16,17.16,41.32,37.86,4.94,5.4,6.77,7.23,7.23,7.19,7.17,7.16,7.06,6.97,6.86,6.75,6.64,6.46,6.15
Chile,CHL,2015,18.0,90.0,79.5,23.0,23.81,17.56,41.37,38.1,4.87,5.33,6.71,7.17,7.17,7.17,7.17,7.17,7.08,6.99,6.89,6.8,6.71,6.53,6.25
Chile,CHL,2016,18.0,90.0,79.5,23.0,23.81,17.56,41.37,38.1,4.87,5.33,6.71,7.17,7.17,7.17,7.17,7.17,7.08,6.99,6.89,6.8,6.71,6.53,6.25
