País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Colombia,COL,2000,41.0,75.0,72.3,39.0,43.73,8.21,51.94,26.7,8.5,8.96,10.33,9.87,9.41,8.5,7.59,6.76,6.12,5.39,4.84,4.11,3.66,3.2,2.74
Colombia,COL,2001,41.86,75.4,72.6,39.8,42.81,8.47,51.28,27.18,8.32,8.81,10.17,9.72,9.27,8.45,7.63,6.84,6.21,5.5,4.92,4.23,3.77,3.3,2.85
Colombia,COL,2002,42.72,75.8,72.9,40.6,41.89,8.72,50.61,27.66,8.14,8.67,10.02,9.57,9.12,8.39,7.67,6.93,6.29,5.61,5.0,4.34,3.89,3.41,2.96
Colombia,COL,2003,43.58,76.2,73.2,41.4,40.97,8.98,49.94,28.14,7.97,8.52,9.87,9.42,8.97,8.34,7.71,7.01,6.38,5.71,5.07,4.46,4.01,3.51,3.06
Colombia,COL,2004,44.44,76.6,73.5,42.2,40.05,9.23,49.28,28.62,7.79,8.38,9.71,9.27,8.82,8.28,7.75,7.09,6.46,5.82,5.15,4.57,4.13,3.61,3.17
Colombia,COL,2005,45.3,77.0,73.8,43.0,39.13,9.49,48.61,29.1,7.61,8.23,9.56,9.12,8.67,8.23,7.79,7.17,6.55,5.93,5.22,4.69,4.25,3.72,3.27
Colombia,COL,2006,45.8,77.4,74.0,43.6,37.97,9.76,47.73,29.68,7.39,8.02,9.37,8.98,8.58,8.19,7.78,7.2,6.63,6.03,5.36,4.82,4.37,3.86,3.42
Colombia,COL,2007,46.3,77.8,74.2,44.2,36.81,10.04,46.85,30.26,7.17,7.81,9.18,8.84,8.48,8.15,7.78,7.24,6.7,6.13,5.51,4.95,4.49,4.0,3.57
Colombia,COL,2008,46.8,78.2,74.4,44.8,35.66,10.31,45.97,30.84,6.95,7.6,8.99,8.71,8.38,8.1,7.78,7.28,6.78,6.23,5.65,5.08,4.61,4.14,3.72
Colombia,COL,2009,47.3,78.6,74.6,45.4,34.5,10.59,45.09,31.42,6.74,7.39,8.8,8.57,8.28,8.06,7.77,7.31,6.86,6.33,5.79,5.22,4.73,4.29,3.86
Colombia,COL,2010,47.8,79.0,74.8,46.0,33.35,10.86,44.21,32.0,6.52,7.18,8.6,8.44,8.19,8.02,7.77,7.35,6.93,6.43,5.93,5.35,4.85,4.43,4.01
Colombia,COL,2011,48.06,79.6,75.04,46.6,32.37,11.24,43.6,32.5,6.36,7.01,8.39,8.34,8.11,7.97,7.72,7.36,6.97,6.51,6.03,5.48,5.0,4.58,4.17
Colombia,COL,2012,48.32,80.2,75.28,47.2,31.39,11.61,43.0,33.0,6.21,6.84,8.18,8.24,8.03,7.93,7.68,7.36,7.02,6.58,6.12,5.61,5.15,4.73,4.32
Colombia,COL,2013,48.58,80.8,75.52,47.8,30.41,11.98,42.4,33.5,6.06,6.67,7.97,8.14,7.95,7.88,7.63,7.37,7.06,6.66,6.22,5.74,5.3,4.89,4.48
