País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Costa Rica,CRI,2000,3.83,78.0,77.0,80.0,32.32,,,33.0,6.43,6.84,8.08,8.49,8.08,7.67,7.25,6.84,6.51,6.35,6.1,5.69,5.52,5.28,4.86
Costa Rica,CRI,2001,3.9,78.4,77.26,81.4,32.32,,,33.46,6.31,6.72,7.95,8.35,7.99,7.62,7.25,6.88,6.58,6.4,6.17,5.79,5.63,5.38,4.97
Costa Rica,CRI,2002,3.97,78.8,77.52,82.8,32.32,,,33.92,6.18,6.59,7.81,8.22,7.91,7.56,7.25,6.91,6.65,6.45,6.24,5.9,5.74,5.49,5.09
Costa Rica,CRI,2003,4.05,79.2,77.78,84.2,32.32,,,34.38,6.06,6.47,7.68,8.08,7.82,7.51,7.25,6.94,6.72,6.51,6.31,6.0,5.84,5.6,5.2
Costa Rica,CRI,2004,4.12,79.6,78.04,85.6,32.32,,,34.84,5.94,6.34,7.54,7.95,7.74,7.46,7.25,6.98,6.78,6.56,6.38,6.11,5.95,5.71,5.31
Costa Rica,CRI,2005,4.19,80.0,78.3,87.0,32.32,,,35.3,5.82,6.22,7.41,7.81,7.65,7.41,7.25,7.01,6.85,6.61,6.45,6.22,6.06,5.82,5.42
Costa Rica,CRI,2006,4.25,80.2,78.5,88.2,32.32,,,35.6,5.74,6.14,7.33,7.73,7.6,7.38,7.24,7.01,6.87,6.66,6.5,6.28,6.12,5.9,5.5
Costa Rica,CRI,2007,4.31,80.4,78.7,89.4,32.32,,,35.9,5.66,6.06,7.25,7.65,7.56,7.35,7.22,7.01,6.89,6.71,6.55,6.34,6.19,5.98,5.58
Costa Rica,CRI,2008,4.37,80.6,78.9,90.6,32.32,,,36.2,5.58,5.98,7.17,7.57,7.51,7.32,7.21,7.02,6.9,6.76,6.6,6.41,6.25,6.06,5.66
Costa Rica,CRI,2009,4.43,80.8,79.1,91.8,32.32,,,36.5,5.5,5.9,7.1,7.49,7.46,7.29,7.19,7.02,6.92,6.81,6.65,6.47,6.31,6.14,5.74
Costa Rica,CRI,2010,4.49,81.0,79.3,93.0,32.32,,,36.8,5.42,5.82,7.02,7.42,7.42,7.26,7.18,7.02,6.94,6.86,6.7,6.54,6.38,6.22,5.82
Costa Rica,CRI,2011,4.55,81.2,79.44,94.2,32.32,,,37.12,5.33,5.73,6.92,7.35,7.35,7.22,7.16,7.03,6.97,6.9,6.76,6.61,6.46,6.31,5.91
Costa Rica,CRI,2012,4.62,81.4,79.58,95.4,32.32,,,37.44,5.23,5.63,6.82,7.28,7.28,7.18,7.14,7.04,6.99,6.95,6.82,6.69,6.53,6.41,6.01
Costa Rica,CRI,2013,4.68,81.6,79.72,96.6,32.32,,,37.76,5.14,5.54,6.72,7.21,7.21,7.15,7.12,7.05,7.02,6.99,6.88,6.77,6.61,6.5,6.1
Costa Rica,CRI,2014,4.75,81.8,79.86,97.8,32.32,,,38.08,5.05,5.44,6.62,7.14,7.14,7.11,7.1,7.06,7.05,7.03,6.94,6.84,6.68,6.59,6.2
Costa Rica,CRI,2015,4.81,82.0,80.0,99.0,32.32,,,38.4,4.95,5.35,6.53,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.0,6.92,6.76,6.68,6.29
