País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Cuba,CUB,2000,11.22,77.0,77.0,102.0,24.92,,,37.2,4.93,5.45,6.99,7.5,7.5,7.3,7.19,7.09,6.89,6.78,6.68,6.58,6.47,6.37,6.27
Cuba,CUB,2001,11.22,77.06,77.2,102.2,24.92,,,37.42,4.86,5.38,6.93,7.45,7.45,7.28,7.2,7.1,6.93,6.83,6.73,6.62,6.52,6.42,6.31
Cuba,CUB,2002,11.22,77.12,77.4,102.4,24.92,,,37.64,4.79,5.31,6.87,7.39,7.39,7.27,7.21,7.1,6.98,6.88,6.77,6.67,6.56,6.46,6.35
Cuba,CUB,2003,11.22,77.18,77.6,102.6,24.92,,,37.86,4.72,5.24,6.81,7.34,7.34,7.25,7.21,7.11,7.03,6.92,6.82,6.71,6.61,6.5,6.4
Cuba,CUB,2004,11.22,77.24,77.8,102.8,24.92,,,38.08,4.64,5.17,6.75,7.28,7.28,7.24,7.22,7.11,7.07,6.97,6.86,6.76,6.65,6.55,6.44
Cuba,CUB,2005,11.22,77.3,78.0,103.0,24.92,,,38.3,4.57,5.1,6.7,7.23,7.23,7.23,7.23,7.12,7.12,7.01,6.91,6.8,6.7,6.59,6.48
Cuba,CUB,2006,11.22,77.36,78.2,103.2,24.92,,,38.46,4.51,5.05,6.67,7.2,7.2,7.2,7.2,7.12,7.12,7.03,6.95,6.84,6.73,6.63,6.52
Cuba,CUB,2007,11.22,77.42,78.4,103.4,24.92,,,38.62,4.46,5.0,6.64,7.18,7.18,7.18,7.18,7.12,7.12,7.06,6.99,6.88,6.77,6.67,6.56
Cuba,CUB,2008,11.22,77.48,78.6,103.6,24.92,,,38.78,4.4,4.96,6.61,7.16,7.16,7.16,7.16,7.12,7.12,7.08,7.03,6.92,6.81,6.7,6.59
Cuba,CUB,2009,11.22,77.54,78.8,103.8,24.92,,,38.94,4.35,4.91,6.58,7.14,7.14,7.14,7.14,7.12,7.12,7.1,7.08,6.96,6.85,6.74,6.63
Cuba,CUB,2010,11.22,77.6,79.0,104.0,24.92,,,39.1,4.29,4.86,6.55,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.01,6.89,6.78,6.67
Cuba,CUB,2011,11.22,77.66,79.2,104.2,24.92,,,39.22,4.24,4.81,6.54,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.02,6.93,6.84,6.75
Cuba,CUB,2012,11.22,77.72,79.4,104.4,24.92,,,39.34,4.19,4.77,6.52,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.03,6.96,6.9,6.83
Cuba,CUB,2013,11.22,77.78,79.6,104.6,24.92,,,39.46,4.13,4.72,6.5,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.05,7.0,6.96,6.91
Cuba,CUB,2014,11.22,77.84,79.8,104.8,24.92,,,39.58,4.08,4.68,6.48,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.06,7.04,7.01,6.99
Cuba,CUB,2015,11.22,77.9,80.0,105.0,24.92,,,39.7,4.02,4.63,6.46,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
Cuba,CUB,2016,11.22,77.9,80.0,105.0,24.92,,,39.7,4.02,4.63,6.46,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
Cuba,CUB,2017,11.22,77.9,80.0,105.0,24.92,,,39.7,4.02,4.63,6.46,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
Cuba,CUB,2018,11.22,77.9,80.0,105.0,24.92,,,39.7,4.02,4.63,6.46,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
Cuba,CUB,2019,11.22,77.9,80.0,105.0,24.92,,,39.7,4.02,4.63,6.46,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
Cuba,CUB,2020,11.22,77.9,80.0,105.0,24.92,,,39.7,4.02,4.63,6.46,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
Cuba,CUB,2021,11.22,77.9,80.0,105.0,24.92,,,39.7,4.02,4.63,6.46,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
Cuba,CUB,2022,11.22,77.9,80.0,105.0,24.92,,,39.7,4.02,4.63,6.46,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
