País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Ecuador,ECU,2000,12.8,62.0,73.0,48.0,47.78,11.04,44.14,24.6,9.59,10.06,10.99,10.52,9.59,8.57,7.36,6.42,5.68,5.03,4.47,3.72,3.26,2.61,2.14
Ecuador,ECU,2001,13.06,62.4,73.3,48.8,46.16,11.04,44.14,25.32,9.31,9.81,10.72,10.26,9.43,8.53,7.44,6.56,5.81,5.17,4.58,3.89,3.41,2.77,2.31
Ecuador,ECU,2002,13.32,62.8,73.6,49.6,44.54,11.04,44.14,26.04,9.04,9.55,10.46,10.01,9.28,8.49,7.52,6.69,5.94,5.31,4.7,4.05,3.56,2.93,2.48
Ecuador,ECU,2003,13.58,63.2,73.9,50.4,42.92,11.04,44.14,26.76,8.76,9.3,10.19,9.75,9.12,8.45,7.61,6.83,6.07,5.45,4.81,4.21,3.71,3.09,2.65
Ecuador,ECU,2004,13.84,63.6,74.2,51.2,41.3,11.04,44.14,27.48,8.48,9.05,9.92,9.49,8.96,8.41,7.69,6.96,6.2,5.59,4.93,4.37,3.87,3.26,2.82
Ecuador,ECU,2005,14.1,64.0,74.5,52.0,39.68,11.04,44.14,28.2,8.21,8.8,9.66,9.23,8.8,8.38,7.78,7.09,6.32,5.73,5.04,4.53,4.02,3.42,2.99
Ecuador,ECU,2006,14.28,64.4,74.76,52.8,38.36,11.04,44.14,28.78,7.97,8.58,9.46,9.08,8.69,8.32,7.79,7.17,6.44,5.85,5.19,4.65,4.13,3.55,3.13
Ecuador,ECU,2007,14.46,64.8,75.02,53.6,37.05,11.04,44.14,29.36,7.74,8.36,9.26,8.94,8.58,8.26,7.81,7.24,6.55,5.97,5.33,4.77,4.24,3.69,3.27
Ecuador,ECU,2008,14.64,65.2,75.28,54.4,35.74,11.04,44.14,29.94,7.51,8.14,9.06,8.79,8.47,8.21,7.82,7.31,6.66,6.09,5.48,4.89,4.35,3.82,3.41
Ecuador,ECU,2009,14.82,65.6,75.54,55.2,34.42,11.04,44.14,30.52,7.28,7.91,8.85,8.64,8.36,8.15,7.84,7.38,6.78,6.21,5.62,5.01,4.46,3.95,3.55
Ecuador,ECU,2010,15.0,66.0,75.8,56.0,33.11,11.04,44.14,31.1,7.05,7.69,8.65,8.49,8.25,8.09,7.85,7.45,6.89,6.33,5.77,5.13,4.57,4.09,3.69
Ecuador,ECU,2011,15.24,66.4,76.04,56.8,32.44,11.39,43.83,31.7,6.88,7.5,8.47,8.37,8.15,8.0,7.78,7.43,6.93,6.42,5.9,5.28,4.74,4.28,3.88
Ecuador,ECU,2012,15.48,66.8,76.28,57.6,31.77,11.74,43.51,32.3,6.71,7.3,8.28,8.24,8.04,7.91,7.71,7.4,6.98,6.52,6.03,5.43,4.91,4.47,4.08
Ecuador,ECU,2013,15.72,67.2,76.52,58.4,31.1,12.1,43.2,32.9,6.53,7.11,8.09,8.12,7.93,7.82,7.63,7.38,7.02,6.61,6.16,5.58,5.08,4.66,4.27
Ecuador,ECU,2014,15.96,67.6,76.76,59.2,30.43,12.45,42.88,33.5,6.36,6.92,7.9,7.99,7.82,7.73,7.56,7.36,7.06,6.71,6.29,5.73,5.25,4.85,4.47
Ecuador,ECU,2015,16.2,68.0,77.0,60.0,29.76,12.81,42.57,34.1,6.19,6.72,7.72,7.87,7.72,7.64,7.49,7.33,7.1,6.8,6.42,5.88,5.42,5.04,4.66
Ecuador,ECU,2016,16.2,68.0,77.0,60.0,29.76,12.81,42.57,34.1,6.19,6.72,7.72,7.87,7.72,7.64,7.49,7.33,7.1,6.8,6.42,5.88,5.42,5.04,4.66
Ecuador,ECU,2017,16.2,68.0,77.0,60.0,29.76,12.81,42.57,34.1,6.19,6.72,7.72,7.87,7.72,7.64,7.49,7.33,7.1,6.8,6.42,5.88,5.42,5.04,4.66
Ecuador,ECU,2018,16.2,68.0,77.0,60.0,29.76,12.81,42.57,34.1,6.19,6.72,7.72,7.87,7.72,7.64,7.49,7.33,7.1,6.8,6.42,5.88,5.42,5.04,4.66
Ecuador,ECU,2019,16.2,68.0,77.0,60.0,29.76,12.81,42.57,34.1,6.19,6.72,7.72,7.87,7.72,7.64,7.49,7.33,7.1,6.8,6.42,5.88,5.42,5.04,4.66
Ecuador,ECU,2020,16.2,68.0,77.0,60.0,29.76,12.81,42.57,34.1,6.19,6.72,7.72,7.87,7.72,7.64,7.49,7.33,7.1,6.8,6.42,5.88,5.42,5.04,4.66
