País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
El Salvador,SLV,2000,5.9,45.0,70.3,281.0,50.63,,,23.8,10.2,10.63,11.06,10.63,9.77,8.47,7.52,6.4,5.53,4.75,4.15,3.54,2.94,2.42,1.99
El Salvador,SLV,2001,5.95,46.0,70.6,286.2,50.63,,,24.4,9.97,10.4,10.82,10.4,9.63,8.43,7.57,6.51,5.66,4.89,4.28,3.69,3.07,2.55,2.12
El Salvador,SLV,2002,6.0,47.0,70.9,291.4,50.63,,,25.0,9.75,10.17,10.59,10.17,9.49,8.39,7.63,6.63,5.79,5.04,4.42,3.83,3.21,2.67,2.25
El Salvador,SLV,2003,6.04,48.0,71.2,296.6,50.63,,,25.6,9.52,9.93,10.35,9.93,9.35,8.35,7.68,6.75,5.92,5.18,4.55,3.97,3.34,2.8,2.38
El Salvador,SLV,2004,6.09,49.0,71.5,301.8,50.63,,,26.2,9.29,9.7,10.11,9.7,9.21,8.31,7.73,6.87,6.05,5.32,4.68,4.11,3.48,2.92,2.52
El Salvador,SLV,2005,6.14,50.0,71.8,307.0,50.63,,,26.8,9.07,9.47,9.87,9.47,9.07,8.27,7.78,6.98,6.18,5.46,4.82,4.25,3.61,3.05,2.65
El Salvador,SLV,2006,6.17,51.0,72.1,312.4,50.63,,,27.36,8.85,9.25,9.67,9.32,8.96,8.24,7.78,7.03,6.27,5.56,4.94,4.37,3.75,3.21,2.81
El Salvador,SLV,2007,6.2,52.0,72.4,317.8,50.63,,,27.92,8.63,9.03,9.48,9.18,8.85,8.21,7.77,7.08,6.36,5.65,5.06,4.48,3.88,3.37,2.97
El Salvador,SLV,2008,6.24,53.0,72.7,323.2,50.63,,,28.48,8.42,8.8,9.28,9.03,8.73,8.19,7.77,7.13,6.45,5.75,5.18,4.59,4.02,3.52,3.14
El Salvador,SLV,2009,6.27,54.0,73.0,328.6,50.63,,,29.04,8.2,8.58,9.08,8.88,8.62,8.16,7.76,7.18,6.54,5.85,5.3,4.71,4.16,3.68,3.3
El Salvador,SLV,2010,6.3,55.0,73.3,334.0,50.63,,,29.6,7.98,8.36,8.89,8.73,8.51,8.13,7.76,7.23,6.63,5.95,5.42,4.82,4.29,3.84,3.46
El Salvador,SLV,2011,6.32,56.0,73.6,340.2,50.63,,,30.26,7.82,8.19,8.68,8.56,8.35,8.01,7.68,7.21,6.66,6.04,5.55,4.99,4.5,4.06,3.69
El Salvador,SLV,2012,6.34,57.0,73.9,346.4,50.63,,,30.92,7.65,8.02,8.48,8.39,8.2,7.88,7.6,7.2,6.69,6.14,5.67,5.17,4.71,4.29,3.92
