País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Guatemala,GTM,2000,12.1,40.0,69.0,110.0,63.37,5.29,68.66,21.3,12.65,12.14,11.63,11.01,9.67,8.13,7.0,5.97,5.04,4.22,3.5,2.98,2.47,1.95,1.65
Guatemala,GTM,2001,12.38,40.6,69.24,112.2,61.78,5.29,68.66,21.74,12.41,11.94,11.43,10.84,9.65,8.16,7.07,6.05,5.14,4.32,3.59,3.08,2.57,2.06,1.71
Guatemala,GTM,2002,12.66,41.2,69.48,114.4,60.18,5.29,68.66,22.18,12.16,11.74,11.23,10.66,9.63,8.19,7.15,6.14,5.23,4.42,3.68,3.17,2.66,2.16,1.78
Guatemala,GTM,2003,12.94,41.8,69.72,116.6,58.59,5.29,68.66,22.62,11.92,11.54,11.03,10.49,9.6,8.22,7.23,6.23,5.33,4.52,3.76,3.26,2.76,2.26,1.84
Guatemala,GTM,2004,13.22,42.4,69.96,118.8,57.0,5.29,68.66,23.06,11.67,11.33,10.84,10.32,9.58,8.25,7.31,6.32,5.42,4.63,3.85,3.36,2.86,2.36,1.91
Guatemala,GTM,2005,13.5,43.0,70.2,121.0,55.41,5.29,68.66,23.5,11.43,11.13,10.64,10.15,9.56,8.28,7.39,6.4,5.52,4.73,3.94,3.45,2.96,2.46,1.97
Guatemala,GTM,2006,13.78,43.8,70.44,123.4,53.82,5.29,68.66,24.02,11.13,10.9,10.47,10.02,9.45,8.28,7.42,6.49,5.63,4.85,4.07,3.55,3.06,2.58,2.09
Guatemala,GTM,2007,14.06,44.6,70.68,125.8,52.24,5.29,68.66,24.54,10.84,10.66,10.29,9.89,9.35,8.28,7.46,6.57,5.74,4.98,4.21,3.65,3.17,2.69,2.21
Guatemala,GTM,2008,14.34,45.4,70.92,128.2,50.65,5.29,68.66,25.06,10.54,10.43,10.12,9.75,9.24,8.29,7.49,6.65,5.86,5.1,4.34,3.76,3.28,2.81,2.34
Guatemala,GTM,2009,14.62,46.2,71.16,130.6,49.07,5.29,68.66,25.58,10.25,10.19,9.94,9.62,9.14,8.29,7.52,6.74,5.97,5.22,4.47,3.86,3.39,2.93,2.46
Guatemala,GTM,2010,14.9,47.0,71.4,133.0,47.48,5.29,68.66,26.1,9.95,9.95,9.77,9.49,9.03,8.29,7.56,6.82,6.08,5.35,4.61,3.96,3.5,3.04,2.58
Guatemala,GTM,2011,15.18,47.8,71.72,135.6,46.27,5.29,68.66,26.68,9.73,9.76,9.58,9.3,8.9,8.26,7.58,6.89,6.16,5.46,4.73,4.1,3.64,3.18,2.73
Guatemala,GTM,2012,15.46,48.6,72.04,138.2,45.06,5.29,68.66,27.26,9.5,9.57,9.39,9.12,8.77,8.22,7.61,6.95,6.23,5.58,4.86,4.23,3.78,3.33,2.87
Guatemala,GTM,2013,15.74,49.4,72.36,140.8,43.84,5.29,68.66,27.84,9.27,9.37,9.2,8.93,8.64,8.19,7.63,7.02,6.31,5.7,4.98,4.36,3.91,3.47,3.02
Guatemala,GTM,2014,16.02,50.2,72.68,143.4,42.63,5.29,68.66,28.42,9.04,9.18,9.0,8.74,8.51,8.15,7.65,7.09,6.38,5.82,5.11,4.49,4.05,3.61,3.17
Guatemala,GTM,2015,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2016,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2017,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2018,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2019,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2020,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2021,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2022,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2023,16.3,51.0,73.0,146.0,41.41,5.29,68.66,29.0,8.81,8.99,8.81,8.55,8.38,8.12,7.68,7.16,6.46,5.93,5.24,4.62,4.19,3.75,3.32
Guatemala,GTM,2024,17.4,53.92,74.03,155.41,35.62,5.29,68.66,31.02,7.78,8.15,8.09,7.93,8.03,8.12,7.85,7.47,6.84,6.38,5.71,5.04,4.64,4.22,3.77
Guatemala,GTM,2025,17.6,54.47,74.22,157.16,34.6,5.29,68.66,31.4,7.6,8.0,7.95,7.81,7.95,8.11,7.88,7.53,6.91,6.47,5.79,5.13,4.72,4.31,3.85
Guatemala,GTM,2026,17.79,55.01,74.42,158.9,33.58,5.29,68.66,31.78,7.42,7.85,7.82,7.7,7.88,8.1,7.9,7.58,6.97,6.55,5.88,5.21,4.81,4.4,3.94
Guatemala,GTM,2027,17.99,55.56,74.62,160.65,32.56,5.29,68.66,32.16,7.23,7.7,7.69,7.58,7.81,8.1,7.93,7.64,7.04,6.63,5.97,5.29,4.89,4.48,4.03
Guatemala,GTM,2028,18.19,56.1,74.81,162.39,31.55,5.29,68.66,32.53,7.05,7.55,7.55,7.46,7.74,8.09,7.96,7.69,7.11,6.72,6.05,5.37,4.98,4.57,4.12
Guatemala,GTM,2029,18.39,56.64,75.01,164.14,30.53,5.29,68.66,32.91,6.87,7.4,7.42,7.35,7.67,8.09,7.98,7.75,7.17,6.8,6.14,5.45,5.06,4.66,4.2
