País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Honduras,HND,2000,6.58,45.0,68.8,59.0,,,,23.5,10.41,10.81,11.22,10.81,9.59,8.37,7.24,6.34,5.53,4.72,4.15,3.58,2.93,2.36,1.95
Honduras,HND,2001,6.78,45.6,69.04,60.0,,,,24.04,10.2,10.6,11.0,10.6,9.47,8.34,7.3,6.43,5.63,4.82,4.25,3.7,3.07,2.5,2.09
Honduras,HND,2002,6.98,46.2,69.28,61.0,,,,24.58,9.99,10.39,10.78,10.39,9.35,8.31,7.36,6.52,5.72,4.93,4.35,3.82,3.22,2.63,2.24
Honduras,HND,2003,7.17,46.8,69.52,62.0,,,,25.12,9.78,10.17,10.57,10.17,9.23,8.28,7.42,6.6,5.82,5.04,4.45,3.94,3.36,2.77,2.38
Honduras,HND,2004,7.37,47.4,69.76,63.0,,,,25.66,9.58,9.96,10.35,9.96,9.11,8.26,7.48,6.69,5.92,5.15,4.55,4.07,3.51,2.91,2.52
Honduras,HND,2005,7.57,48.0,70.0,64.0,,,,26.2,9.37,9.75,10.13,9.75,8.99,8.23,7.54,6.78,6.02,5.26,4.65,4.19,3.66,3.05,2.67
Honduras,HND,2006,7.73,48.6,70.26,65.4,,,,26.8,9.15,9.52,9.9,9.57,8.89,8.21,7.55,6.84,6.12,5.37,4.78,4.3,3.78,3.21,2.82
Honduras,HND,2007,7.89,49.2,70.52,66.8,,,,27.4,8.93,9.3,9.67,9.38,8.79,8.19,7.55,6.9,6.22,5.48,4.92,4.42,3.9,3.37,2.97
Honduras,HND,2008,8.05,49.8,70.78,68.2,,,,28.0,8.71,9.07,9.44,9.2,8.69,8.17,7.56,6.96,6.32,5.59,5.06,4.54,4.03,3.53,3.13
Honduras,HND,2009,8.21,50.4,71.04,69.6,,,,28.6,8.49,8.85,9.21,9.02,8.59,8.15,7.57,7.02,6.42,5.71,5.19,4.65,4.15,3.69,3.28
Honduras,HND,2010,8.37,51.0,71.3,71.0,,,,29.2,8.27,8.63,8.98,8.84,8.49,8.13,7.57,7.08,6.52,5.82,5.33,4.77,4.28,3.86,3.44
Honduras,HND,2011,8.4,51.8,71.54,72.0,,,,29.82,8.09,8.44,8.78,8.67,8.36,8.05,7.53,7.07,6.56,5.93,5.48,4.94,4.45,4.02,3.62
Honduras,HND,2012,8.43,52.6,71.78,73.0,,,,30.44,7.91,8.25,8.59,8.51,8.24,7.96,7.49,7.06,6.6,6.05,5.62,5.1,4.63,4.19,3.81
