País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
México,MEX,2000,97.5,71.0,74.3,51.0,50.64,4.51,55.15,23.0,9.1,9.59,13.01,12.04,10.57,9.1,7.63,6.65,5.68,4.7,3.72,2.74,2.25,1.86,1.37
México,MEX,2001,99.54,71.6,74.6,51.8,48.58,5.06,53.64,23.96,8.8,9.28,12.57,11.6,10.25,8.98,7.72,6.84,5.91,4.95,3.98,3.02,2.5,2.04,1.57
México,MEX,2002,101.58,72.2,74.9,52.6,46.51,5.62,52.12,24.92,8.5,8.97,12.13,11.17,9.93,8.86,7.8,7.03,6.15,5.2,4.24,3.29,2.74,2.21,1.77
México,MEX,2003,103.62,72.8,75.2,53.4,44.44,6.17,50.61,25.88,8.2,8.67,11.68,10.74,9.61,8.75,7.88,7.22,6.39,5.45,4.51,3.57,2.99,2.39,1.98
México,MEX,2004,105.66,73.4,75.5,54.2,42.37,6.72,49.1,26.84,7.89,8.36,11.24,10.31,9.29,8.63,7.97,7.41,6.62,5.7,4.77,3.84,3.23,2.57,2.18
México,MEX,2005,107.7,74.0,75.8,55.0,40.3,7.28,47.58,27.8,7.59,8.05,10.8,9.88,8.97,8.51,8.05,7.59,6.86,5.95,5.03,4.12,3.48,2.74,2.38
México,MEX,2006,108.62,74.8,75.94,55.6,38.69,7.74,46.43,28.3,7.42,7.87,10.53,9.7,8.88,8.51,8.15,7.69,6.92,6.01,5.09,4.19,3.59,2.91,2.53
México,MEX,2007,109.54,75.6,76.08,56.2,37.07,8.2,45.27,28.8,7.24,7.7,10.26,9.53,8.8,8.52,8.25,7.79,6.98,6.07,5.15,4.27,3.7,3.08,2.68
México,MEX,2008,110.46,76.4,76.22,56.8,35.45,8.66,44.12,29.3,7.06,7.52,9.99,9.35,8.71,8.53,8.34,7.89,7.04,6.13,5.21,4.35,3.81,3.25,2.82
México,MEX,2009,111.38,77.2,76.36,57.4,33.84,9.13,42.96,29.8,6.88,7.34,9.73,9.18,8.63,8.53,8.44,7.98,7.1,6.18,5.27,4.42,3.93,3.41,2.97
