País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Nicaragua,NIC,2000,5.2,56.0,70.0,40.0,,,,24.5,9.95,10.36,10.76,10.36,9.55,8.58,7.52,6.55,5.74,4.94,4.29,3.72,3.07,2.51,2.1
Nicaragua,NIC,2001,5.31,56.1,70.3,40.8,,,,25.0,9.77,10.17,10.57,10.17,9.44,8.51,7.56,6.63,5.83,5.03,4.39,3.83,3.19,2.65,2.25
Nicaragua,NIC,2002,5.41,56.2,70.6,41.6,,,,25.5,9.58,9.98,10.37,9.98,9.34,8.45,7.6,6.71,5.92,5.13,4.5,3.95,3.31,2.79,2.39
Nicaragua,NIC,2003,5.52,56.3,70.9,42.4,,,,26.0,9.39,9.78,10.18,9.78,9.23,8.38,7.64,6.8,6.01,5.23,4.61,4.06,3.43,2.93,2.54
Nicaragua,NIC,2004,5.62,56.4,71.2,43.2,,,,26.5,9.21,9.59,9.98,9.59,9.13,8.32,7.68,6.88,6.1,5.33,4.71,4.17,3.55,3.07,2.68
Nicaragua,NIC,2005,5.73,56.5,71.5,44.0,,,,27.0,9.02,9.4,9.79,9.4,9.02,8.26,7.72,6.96,6.19,5.43,4.82,4.28,3.67,3.21,2.83
Nicaragua,NIC,2006,5.84,56.6,71.8,44.8,,,,27.7,8.79,9.16,9.54,9.2,8.86,8.22,7.72,7.0,6.29,5.56,4.98,4.44,3.85,3.39,3.01
Nicaragua,NIC,2007,5.95,56.7,72.1,45.6,,,,28.4,8.55,8.92,9.29,9.0,8.69,8.18,7.72,7.04,6.38,5.7,5.14,4.6,4.04,3.57,3.2
Nicaragua,NIC,2008,6.05,56.8,72.4,46.4,,,,29.1,8.32,8.68,9.04,8.8,8.53,8.14,7.71,7.07,6.48,5.84,5.3,4.75,4.22,3.74,3.38
Nicaragua,NIC,2009,6.16,56.9,72.7,47.2,,,,29.8,8.08,8.44,8.79,8.6,8.36,8.1,7.71,7.11,6.57,5.97,5.46,4.91,4.4,3.92,3.57
Nicaragua,NIC,2010,6.27,57.0,73.0,48.0,,,,30.5,7.85,8.19,8.54,8.4,8.19,8.06,7.71,7.15,6.67,6.11,5.62,5.07,4.58,4.1,3.75
Nicaragua,NIC,2011,6.35,57.2,73.3,48.8,,,,31.04,7.7,8.05,8.39,8.28,8.09,7.94,7.63,7.15,6.69,6.18,5.73,5.22,4.74,4.28,3.94
Nicaragua,NIC,2012,6.43,57.4,73.6,49.6,,,,31.58,7.56,7.9,8.24,8.16,7.98,7.82,7.56,7.14,6.72,6.25,5.83,5.37,4.89,4.46,4.12
Nicaragua,NIC,2013,6.51,57.6,73.9,50.4,,,,32.12,7.42,7.75,8.09,8.03,7.87,7.7,7.48,7.14,6.75,6.33,5.93,5.51,5.04,4.65,4.31
Nicaragua,NIC,2014,6.59,57.8,74.2,51.2,,,,32.66,7.27,7.61,7.94,7.91,7.76,7.58,7.4,7.13,6.77,6.4,6.04,5.66,5.19,4.83,4.5
Nicaragua,NIC,2015,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2016,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2017,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2018,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2019,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2020,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2021,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2022,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2023,6.67,58.0,74.5,52.0,,,,33.2,7.13,7.46,7.79,7.79,7.66,7.46,7.33,7.13,6.8,6.47,6.14,5.81,5.35,5.02,4.69
Nicaragua,NIC,2024,7.06,58.5,75.67,55.13,0.0,0.0,0.0,35.55,6.36,6.67,6.98,7.1,7.14,7.19,7.28,7.28,7.09,6.89,6.65,6.37,5.97,5.68,5.37
Nicaragua,NIC,2025,7.13,58.61,75.89,55.7,0.0,0.0,0.0,35.98,6.23,6.54,6.84,6.99,7.05,7.13,7.26,7.3,7.14,6.96,6.74,6.47,6.08,5.81,5.5
Nicaragua,NIC,2026,7.2,58.71,76.1,56.27,0.0,0.0,0.0,36.4,6.1,6.4,6.7,6.87,6.96,7.08,7.24,7.32,7.18,7.04,6.83,6.58,6.19,5.93,5.63
Nicaragua,NIC,2027,7.26,58.81,76.32,56.84,0.0,0.0,0.0,36.82,5.96,6.26,6.56,6.75,6.86,7.02,7.23,7.34,7.23,7.11,6.92,6.68,6.31,6.05,5.76
Nicaragua,NIC,2028,7.33,58.91,76.53,57.41,0.0,0.0,0.0,37.25,5.83,6.13,6.42,6.63,6.77,6.97,7.21,7.36,7.28,7.18,7.01,6.78,6.42,6.18,5.88
Nicaragua,NIC,2029,7.4,59.01,76.74,57.98,0.0,0.0,0.0,37.67,5.7,5.99,6.28,6.51,6.68,6.91,7.19,7.38,7.32,7.26,7.1,6.89,6.53,6.3,6.01
Nicaragua,NIC,2030,7.47,59.12,76.96,58.55,0.0,0.0,0.0,38.09,5.57,5.85,6.14,6.4,6.59,6.85,7.17,7.4,7.37,7.33,7.19,6.99,6.64,6.43,6.14
