País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Panamá,PAN,2000,2.84,70.0,74.0,43.0,39.44,,,28.1,8.09,8.52,9.83,9.39,8.96,8.35,7.65,7.04,6.35,5.74,5.04,4.43,4.0,3.48,3.13
Panamá,PAN,2001,2.92,70.4,74.3,44.4,39.44,,,28.84,7.87,8.29,9.58,9.2,8.8,8.23,7.65,7.08,6.44,5.85,5.21,4.61,4.18,3.69,3.33
Panamá,PAN,2002,3.01,70.8,74.6,45.8,39.44,,,29.58,7.65,8.07,9.32,9.0,8.64,8.12,7.64,7.11,6.54,5.95,5.38,4.79,4.37,3.9,3.53
Panamá,PAN,2003,3.09,71.2,74.9,47.2,39.44,,,30.32,7.43,7.84,9.07,8.8,8.49,8.01,7.63,7.15,6.63,6.06,5.54,4.96,4.55,4.11,3.73
Panamá,PAN,2004,3.18,71.6,75.2,48.6,39.44,,,31.06,7.2,7.61,8.82,8.61,8.33,7.89,7.63,7.19,6.73,6.16,5.71,5.14,4.74,4.31,3.93
Panamá,PAN,2005,3.26,72.0,75.5,50.0,39.44,,,31.8,6.98,7.38,8.57,8.41,8.17,7.78,7.62,7.22,6.83,6.27,5.87,5.32,4.92,4.52,4.13
Panamá,PAN,2006,3.34,72.4,75.76,51.4,39.44,,,32.38,6.83,7.22,8.4,8.27,8.05,7.69,7.56,7.22,6.85,6.33,5.99,5.47,5.08,4.71,4.32
Panamá,PAN,2007,3.42,72.8,76.02,52.8,39.44,,,32.96,6.68,7.07,8.23,8.13,7.93,7.6,7.51,7.21,6.88,6.4,6.1,5.62,5.23,4.9,4.51
Panamá,PAN,2008,3.51,73.2,76.28,54.2,39.44,,,33.54,6.52,6.91,8.06,7.99,7.81,7.52,7.45,7.2,6.91,6.46,6.21,5.77,5.38,5.09,4.71
Panamá,PAN,2009,3.59,73.6,76.54,55.6,39.44,,,34.12,6.37,6.75,7.89,7.85,7.69,7.43,7.4,7.2,6.94,6.53,6.33,5.92,5.54,5.28,4.9
Panamá,PAN,2010,3.67,74.0,76.8,57.0,39.44,,,34.7,6.22,6.59,7.72,7.72,7.57,7.34,7.34,7.19,6.97,6.59,6.44,6.07,5.69,5.47,5.09
Panamá,PAN,2011,3.75,74.2,77.1,58.6,39.44,,,35.04,6.11,6.48,7.6,7.64,7.52,7.33,7.3,7.18,6.97,6.63,6.48,6.14,5.81,5.58,5.21
Panamá,PAN,2012,3.83,74.4,77.4,60.2,39.44,,,35.38,6.0,6.37,7.49,7.57,7.48,7.32,7.26,7.17,6.98,6.67,6.52,6.21,5.92,5.7,5.33
Panamá,PAN,2013,3.91,74.6,77.7,61.8,39.44,,,35.72,5.9,6.27,7.37,7.5,7.44,7.31,7.22,7.16,6.98,6.7,6.56,6.28,6.04,5.82,5.45
Panamá,PAN,2014,3.99,74.8,78.0,63.4,39.44,,,36.06,5.79,6.16,7.26,7.43,7.4,7.3,7.18,7.15,6.99,6.74,6.59,6.34,6.15,5.93,5.57
Panamá,PAN,2015,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2016,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2017,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2018,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2019,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2020,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2021,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2022,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2023,4.07,75.0,78.3,65.0,39.44,,,36.4,5.69,6.05,7.14,7.36,7.36,7.29,7.14,7.14,7.0,6.78,6.63,6.41,6.27,6.05,5.69
Panamá,PAN,2024,4.39,76.34,79.4,70.7,39.44,0.0,0.0,38.57,5.07,5.42,6.45,6.83,6.94,7.01,6.99,7.15,7.16,7.04,7.04,6.93,6.86,6.73,6.37
