País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Paraguay,PRY,2000,5.28,57.2,71.0,15.0,50.76,6.28,57.04,23.8,10.2,10.63,11.06,10.63,9.77,8.47,7.52,6.4,5.53,4.75,4.15,3.54,2.94,2.42,1.99
Paraguay,PRY,2001,5.39,57.72,71.26,15.2,49.14,6.28,57.04,24.4,9.97,10.4,10.82,10.4,9.63,8.43,7.57,6.51,5.66,4.89,4.28,3.69,3.07,2.55,2.12
Paraguay,PRY,2002,5.5,58.24,71.52,15.4,47.53,6.28,57.04,25.0,9.75,10.17,10.59,10.17,9.49,8.39,7.63,6.63,5.79,5.04,4.42,3.83,3.21,2.67,2.25
Paraguay,PRY,2003,5.6,58.76,71.78,15.6,45.92,6.28,57.04,25.6,9.52,9.93,10.35,9.93,9.35,8.35,7.68,6.75,5.92,5.18,4.55,3.97,3.34,2.8,2.38
Paraguay,PRY,2004,5.71,59.28,72.04,15.8,44.3,6.28,57.04,26.2,9.29,9.7,10.11,9.7,9.21,8.31,7.73,6.87,6.05,5.32,4.68,4.11,3.48,2.92,2.52
Paraguay,PRY,2005,5.82,59.8,72.3,16.0,42.69,6.28,57.04,26.8,9.07,9.47,9.87,9.47,9.07,8.27,7.78,6.98,6.18,5.46,4.82,4.25,3.61,3.05,2.65
Paraguay,PRY,2006,5.91,60.2,72.54,16.2,41.62,6.28,57.04,27.34,8.88,9.27,9.67,9.32,8.95,8.23,7.77,7.03,6.27,5.55,4.93,4.36,3.75,3.21,2.81
Paraguay,PRY,2007,5.99,60.6,72.78,16.4,40.55,6.28,57.04,27.88,8.68,9.08,9.47,9.17,8.83,8.2,7.76,7.07,6.35,5.65,5.05,4.47,3.88,3.36,2.97
Paraguay,PRY,2008,6.08,61.0,73.02,16.6,39.48,6.28,57.04,28.42,8.49,8.88,9.26,9.01,8.72,8.17,7.75,7.12,6.44,5.74,5.17,4.58,4.01,3.52,3.13
Paraguay,PRY,2009,6.16,61.4,73.26,16.8,38.42,6.28,57.04,28.96,8.3,8.68,9.06,8.86,8.6,8.14,7.74,7.16,6.52,5.84,5.29,4.69,4.15,3.67,3.29
Paraguay,PRY,2010,6.25,61.8,73.5,17.0,37.35,6.28,57.04,29.5,8.11,8.48,8.86,8.71,8.48,8.11,7.73,7.21,6.61,5.93,5.41,4.8,4.28,3.83,3.45
Paraguay,PRY,2011,6.34,62.18,73.76,17.2,36.44,6.28,57.04,30.16,7.9,8.3,8.67,8.55,8.34,8.0,7.67,7.18,6.65,6.04,5.55,4.98,4.46,4.03,3.66
Paraguay,PRY,2012,6.43,62.56,74.02,17.4,35.53,6.28,57.04,30.82,7.7,8.12,8.49,8.4,8.21,7.9,7.62,7.16,6.69,6.14,5.69,5.16,4.64,4.23,3.87
Paraguay,PRY,2013,6.51,62.94,74.28,17.6,34.63,6.28,57.04,31.48,7.5,7.94,8.3,8.24,8.07,7.79,7.56,7.14,6.73,6.25,5.83,5.33,4.83,4.44,4.08
Paraguay,PRY,2014,6.6,63.32,74.54,17.8,33.72,6.28,57.04,32.14,7.29,7.76,8.12,8.09,7.93,7.68,7.5,7.11,6.77,6.35,5.97,5.51,5.01,4.64,4.28
