País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Perú,PER,2000,26.0,72.0,70.0,20.0,44.9,8.84,53.75,25.9,9.16,9.61,10.5,10.05,9.16,8.27,7.38,6.58,5.96,5.25,4.72,4.0,3.56,3.11,2.67
Perú,PER,2001,26.5,72.4,70.4,20.4,43.74,8.84,53.75,26.46,8.94,9.41,10.29,9.85,9.06,8.26,7.43,6.66,6.06,5.36,4.81,4.12,3.69,3.25,2.81
Perú,PER,2002,27.0,72.8,70.8,20.8,42.58,8.84,53.75,27.02,8.72,9.22,10.09,9.65,8.95,8.25,7.48,6.73,6.16,5.46,4.91,4.25,3.81,3.38,2.94
Perú,PER,2003,27.5,73.2,71.2,21.2,41.42,8.84,53.75,27.58,8.49,9.02,9.88,9.45,8.85,8.24,7.53,6.81,6.26,5.57,5.0,4.37,3.94,3.51,3.08
Perú,PER,2004,28.0,73.6,71.6,21.6,40.26,8.84,53.75,28.14,8.27,8.83,9.68,9.25,8.74,8.23,7.58,6.88,6.36,5.68,5.1,4.49,4.06,3.64,3.22
Perú,PER,2005,28.5,74.0,72.0,22.0,39.1,8.84,53.75,28.7,8.05,8.63,9.47,9.05,8.63,8.21,7.63,6.96,6.45,5.78,5.2,4.61,4.19,3.77,3.35
Perú,PER,2006,28.92,74.4,72.36,22.4,37.94,8.84,53.75,29.38,7.81,8.4,9.26,8.89,8.51,8.14,7.63,7.01,6.53,5.9,5.34,4.76,4.35,3.94,3.52
Perú,PER,2007,29.34,74.8,72.72,22.8,36.77,8.84,53.75,30.06,7.57,8.17,9.05,8.73,8.39,8.07,7.63,7.07,6.61,6.02,5.48,4.91,4.51,4.1,3.69
Perú,PER,2008,29.76,75.2,73.08,23.2,35.6,8.84,53.75,30.74,7.33,7.94,8.83,8.57,8.26,8.0,7.63,7.13,6.69,6.14,5.63,5.07,4.66,4.26,3.86
Perú,PER,2009,30.18,75.6,73.44,23.6,34.44,8.84,53.75,31.42,7.09,7.7,8.62,8.41,8.14,7.93,7.63,7.18,6.77,6.26,5.77,5.22,4.82,4.43,4.03
Perú,PER,2010,30.6,76.0,73.8,24.0,33.27,8.84,53.75,32.1,6.85,7.47,8.4,8.25,8.02,7.86,7.63,7.24,6.85,6.38,5.91,5.37,4.98,4.59,4.2
Perú,PER,2011,30.68,76.4,74.14,24.4,32.42,8.84,53.75,32.64,6.69,7.29,8.24,8.14,7.92,7.78,7.57,7.23,6.87,6.45,6.03,5.52,5.14,4.75,4.36
Perú,PER,2012,30.76,76.8,74.48,24.8,31.57,8.84,53.75,33.18,6.53,7.12,8.07,8.03,7.83,7.71,7.51,7.22,6.89,6.52,6.15,5.68,5.29,4.91,4.53
Perú,PER,2013,30.84,77.2,74.82,25.2,30.71,8.84,53.75,33.72,6.38,6.94,7.9,7.93,7.74,7.63,7.45,7.21,6.92,6.59,6.27,5.83,5.45,5.07,4.69
Perú,PER,2014,30.92,77.6,75.16,25.6,29.86,8.84,53.75,34.26,6.22,6.76,7.73,7.82,7.65,7.56,7.39,7.2,6.94,6.67,6.39,5.98,5.61,5.23,4.85
Perú,PER,2015,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2016,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2017,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2018,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2019,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2020,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2021,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2022,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2023,31.0,78.0,75.5,26.0,29.01,8.84,53.75,34.8,6.06,6.59,7.56,7.71,7.56,7.49,7.34,7.19,6.96,6.74,6.51,6.14,5.76,5.39,5.01
Perú,PER,2024,32.34,79.57,76.93,27.57,24.81,8.84,53.75,37.18,5.23,5.78,6.78,7.1,7.13,7.27,7.33,7.36,7.23,7.14,6.99,6.71,6.34,5.99,5.63
Perú,PER,2025,32.55,79.85,77.18,27.85,24.07,8.84,53.75,37.61,5.09,5.64,6.65,7.0,7.05,7.23,7.31,7.38,7.27,7.21,7.08,6.81,6.45,6.1,5.75
Perú,PER,2026,32.76,80.14,77.44,28.14,23.34,8.84,53.75,38.03,4.94,5.49,6.51,6.89,6.98,7.18,7.3,7.4,7.31,7.28,7.17,6.91,6.56,6.22,5.86
Perú,PER,2027,32.96,80.42,77.7,28.42,22.6,8.84,53.75,38.46,4.8,5.35,6.37,6.79,6.9,7.14,7.29,7.42,7.35,7.35,7.26,7.02,6.67,6.33,5.97
Perú,PER,2028,33.17,80.71,77.95,28.71,21.87,8.84,53.75,38.88,4.66,5.21,6.23,6.69,6.83,7.09,7.28,7.45,7.39,7.42,7.35,7.12,6.77,6.44,6.09
Perú,PER,2029,33.37,80.99,78.21,28.99,21.13,8.84,53.75,39.31,4.51,5.06,6.1,6.58,6.75,7.05,7.27,7.47,7.43,7.48,7.44,7.23,6.88,6.55,6.2
Perú,PER,2030,33.58,81.28,78.46,29.28,20.4,8.84,53.75,39.74,4.37,4.92,5.96,6.48,6.68,7.01,7.26,7.49,7.47,7.55,7.53,7.33,6.99,6.66,6.32
