País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
República Dominicana,DOM,2000,8.44,60.0,70.0,200.0,,,,25.1,9.71,10.14,10.57,10.14,9.28,8.33,7.22,6.36,5.76,5.07,4.55,3.87,3.44,3.01,2.58
República Dominicana,DOM,2001,8.6,60.6,70.3,202.0,,,,25.66,9.51,9.94,10.36,9.94,9.17,8.31,7.29,6.44,5.85,5.17,4.64,3.98,3.56,3.13,2.71
República Dominicana,DOM,2002,8.76,61.2,70.6,204.0,,,,26.22,9.31,9.73,10.15,9.73,9.06,8.3,7.37,6.53,5.94,5.27,4.74,4.1,3.68,3.26,2.84
República Dominicana,DOM,2003,8.93,61.8,70.9,206.0,,,,26.78,9.12,9.53,9.95,9.53,8.95,8.28,7.44,6.61,6.03,5.37,4.83,4.21,3.8,3.38,2.97
República Dominicana,DOM,2004,9.09,62.4,71.2,208.0,,,,27.34,8.92,9.33,9.74,9.33,8.83,8.26,7.52,6.7,6.13,5.47,4.92,4.33,3.92,3.51,3.1
República Dominicana,DOM,2005,9.25,63.0,71.5,210.0,,,,27.9,8.72,9.13,9.53,9.13,8.72,8.24,7.59,6.79,6.22,5.57,5.01,4.44,4.04,3.63,3.23
República Dominicana,DOM,2006,9.35,63.6,71.8,212.0,,,,28.36,8.56,8.96,9.36,9.0,8.63,8.22,7.62,6.85,6.29,5.65,5.11,4.53,4.14,3.74,3.34
República Dominicana,DOM,2007,9.45,64.2,72.1,214.0,,,,28.82,8.39,8.79,9.18,8.88,8.54,8.19,7.65,6.92,6.37,5.73,5.21,4.63,4.23,3.84,3.44
República Dominicana,DOM,2008,9.55,64.8,72.4,216.0,,,,29.28,8.23,8.62,9.01,8.75,8.46,8.17,7.68,6.99,6.44,5.82,5.31,4.72,4.33,3.94,3.55
República Dominicana,DOM,2009,9.65,65.4,72.7,218.0,,,,29.74,8.06,8.45,8.83,8.63,8.37,8.15,7.71,7.06,6.52,5.9,5.42,4.81,4.42,4.04,3.65
República Dominicana,DOM,2010,9.75,66.0,73.0,220.0,,,,30.2,7.89,8.28,8.66,8.51,8.28,8.12,7.74,7.13,6.59,5.98,5.52,4.9,4.52,4.14,3.75
República Dominicana,DOM,2011,9.87,66.8,73.3,222.0,,,,30.74,7.74,8.12,8.5,8.38,8.17,8.0,7.66,7.13,6.63,6.07,5.62,5.06,4.68,4.3,3.92
República Dominicana,DOM,2012,9.99,67.6,73.6,224.0,,,,31.28,7.59,7.97,8.35,8.25,8.06,7.88,7.59,7.14,6.67,6.15,5.73,5.22,4.84,4.47,4.09
