País,ISO3,Año,Pob_Total_Millones,Tasa_Urbanización,Esperanza_Vida,Densidad_Poblacional,Tasa_Dependencia_Infantil,Tasa_Dependencia_Vejez,Tasa_Dependencia_Total,Edad_Mediana_Estimada,Pct_0_4,Pct_5_9,Pct_10_14,Pct_15_19,Pct_20_24,Pct_25_29,Pct_30_34,Pct_35_39,Pct_40_44,Pct_45_49,Pct_50_54,Pct_55_59,Pct_60_64,Pct_65_69,Pct_70_mas
Venezuela,VEN,2000,23.97,87.0,72.0,30.0,42.38,8.41,50.79,26.6,8.46,9.07,10.4,9.96,9.34,8.46,7.58,6.78,6.08,5.46,4.76,4.23,3.7,3.08,2.64
Venezuela,VEN,2001,24.43,87.4,72.3,30.4,41.26,8.41,50.79,27.16,8.25,8.87,10.22,9.78,9.2,8.41,7.62,6.87,6.17,5.58,4.88,4.34,3.82,3.21,2.77
Venezuela,VEN,2002,24.89,87.8,72.6,30.8,40.14,8.41,50.79,27.72,8.03,8.67,10.04,9.6,9.07,8.37,7.67,6.96,6.27,5.7,5.01,4.45,3.93,3.33,2.9
Venezuela,VEN,2003,25.34,88.2,72.9,31.2,39.02,8.41,50.79,28.28,7.82,8.47,9.86,9.43,8.93,8.32,7.72,7.05,6.36,5.82,5.13,4.57,4.05,3.45,3.02
Venezuela,VEN,2004,25.8,88.6,73.2,31.6,37.9,8.41,50.79,28.84,7.61,8.27,9.68,9.25,8.79,8.28,7.77,7.14,6.46,5.93,5.25,4.68,4.17,3.57,3.15
Venezuela,VEN,2005,26.26,89.0,73.5,32.0,36.78,8.41,50.79,29.4,7.39,8.07,9.5,9.08,8.66,8.24,7.82,7.23,6.55,6.05,5.38,4.79,4.29,3.7,3.28
Venezuela,VEN,2006,26.63,89.4,73.76,32.2,35.46,8.41,50.79,30.12,7.17,7.82,9.24,8.91,8.52,8.16,7.78,7.23,6.61,6.13,5.51,4.97,4.49,3.94,3.52
Venezuela,VEN,2007,27.0,89.8,74.02,32.4,34.15,8.41,50.79,30.84,6.95,7.58,8.99,8.74,8.39,8.08,7.73,7.23,6.67,6.21,5.65,5.14,4.68,4.18,3.77
Venezuela,VEN,2008,27.36,90.2,74.28,32.6,32.83,8.41,50.79,31.56,6.73,7.33,8.74,8.57,8.26,8.0,7.69,7.23,6.72,6.29,5.79,5.32,4.88,4.42,4.01
Venezuela,VEN,2009,27.73,90.6,74.54,32.8,31.52,8.41,50.79,32.28,6.51,7.08,8.49,8.4,8.13,7.93,7.65,7.23,6.78,6.37,5.92,5.5,5.08,4.66,4.26
Venezuela,VEN,2010,28.1,91.0,74.8,33.0,30.2,8.41,50.79,33.0,6.29,6.84,8.24,8.24,8.0,7.85,7.61,7.23,6.84,6.45,6.06,5.67,5.28,4.9,4.51
Venezuela,VEN,2011,28.5,91.4,75.04,33.4,29.52,8.41,50.79,33.46,6.14,6.7,8.08,8.12,7.94,7.8,7.58,7.24,6.88,6.53,6.17,5.78,5.4,5.01,4.62
Venezuela,VEN,2012,28.9,91.8,75.28,33.8,28.84,8.41,50.79,33.92,6.0,6.56,7.92,8.01,7.87,7.75,7.55,7.25,6.93,6.61,6.28,5.9,5.51,5.13,4.74
Venezuela,VEN,2013,29.3,92.2,75.52,34.2,28.15,8.41,50.79,34.38,5.85,6.43,7.76,7.9,7.81,7.7,7.51,7.27,6.98,6.68,6.39,6.01,5.62,5.24,4.86
Venezuela,VEN,2014,29.7,92.6,75.76,34.6,27.47,8.41,50.79,34.84,5.7,6.29,7.6,7.79,7.74,7.65,7.48,7.28,7.02,6.76,6.5,6.12,5.74,5.36,4.97
Venezuela,VEN,2015,30.1,93.0,76.0,35.0,26.79,8.41,50.79,35.3,5.55,6.16,7.45,7.67,7.67,7.6,7.45,7.29,7.07,6.84,6.61,6.23,5.85,5.47,5.09
Venezuela,VEN,2016,30.1,93.0,76.0,35.0,26.79,8.41,50.79,35.3,5.55,6.16,7.45,7.67,7.67,7.6,7.45,7.29,7.07,6.84,6.61,6.23,5.85,5.47,5.09
Venezuela,VEN,2017,30.1,93.0,76.0,35.0,26.79,8.41,50.79,35.3,5.55,6.16,7.45,7.67,7.67,7.6,7.45,7.29,7.07,6.84,6.61,6.23,5.85,5.47,5.09
Venezuela,VEN,2018,30.1,93.0,76.0,35.0,26.79,8.41,50.79,35.3,5.55,6.16,7.45,7.67,7.67,7.6,7.45,7.29,7.07,6.84,6.61,6.23,5.85,5.47,5.09
